step time temperature strxx stryy strzz lx ly lz
21200 2.120000 96.357081 -0.506942 -0.493452 -0.495935 34.462702 34.348916 34.515232 
21300 2.130000 96.857924 -0.503280 -0.491610 -0.496052 34.465094 34.346667 34.513829 
21400 2.140000 97.327016 -0.499299 -0.490331 -0.496856 34.466224 34.343785 34.512467 
21500 2.150000 97.616885 -0.495931 -0.490214 -0.498406 34.465983 34.340465 34.511382 
21600 2.160000 97.630063 -0.494087 -0.491417 -0.500458 34.464580 34.337104 34.510832 
21700 2.170000 97.357274 -0.494286 -0.493536 -0.502602 34.462542 34.334157 34.510990 
21800 2.180000 96.925228 -0.496128 -0.495659 -0.504372 34.460573 34.331937 34.511888 
21900 2.190000 96.545774 -0.498430 -0.496984 -0.505257 34.459239 34.330447 34.513396 
22000 2.200000 96.358606 -0.500113 -0.497666 -0.504761 34.458698 34.329411 34.515211 
22100 2.210000 96.334365 -0.500874 -0.498694 -0.502826 34.458737 34.328610 34.516854 
22200 2.220000 96.323077 -0.501206 -0.500678 -0.500243 34.459038 34.328162 34.517830 
22300 2.230000 96.193001 -0.501680 -0.503245 -0.498256 34.459454 34.328394 34.517914 
22400 2.240000 95.978402 -0.502106 -0.505414 -0.497488 34.460032 34.329508 34.517312 
22500 2.250000 95.856580 -0.501647 -0.506238 -0.497664 34.460758 34.331367 34.516445 
22600 2.260000 95.949317 -0.499798 -0.505321 -0.498489 34.461326 34.333508 34.515639 
22700 2.270000 96.187749 -0.497014 -0.502959 -0.500284 34.461256 34.335335 34.515117 
22800 2.280000 96.409232 -0.494296 -0.499786 -0.503408 34.460227 34.336351 34.515215 
22900 2.290000 96.515456 -0.492435 -0.496511 -0.507428 34.458262 34.336278 34.516392 
23000 2.300000 96.486301 -0.491612 -0.493969 -0.511401 34.455655 34.335080 34.518956 
23100 2.310000 96.335356 -0.491397 -0.492870 -0.514689 34.452765 34.333009 34.522891 
23200 2.320000 96.130205 -0.491115 -0.493265 -0.516986 34.449801 34.330561 34.527962 
23300 2.330000 95.978733 -0.490336 -0.494612 -0.517993 34.446740 34.328249 34.533827 
23400 2.340000 95.913560 -0.489139 -0.496451 -0.517795 34.443411 34.326399 34.540041 
23500 2.350000 95.866158 -0.487937 -0.498629 -0.516997 34.439670 34.325181 34.546187 
23600 2.360000 95.805313 -0.486918 -0.500843 -0.516061 34.435516 34.324710 34.552059 
23700 2.370000 95.793423 -0.485967 -0.502545 -0.515006 34.431011 34.325000 34.557608 
23800 2.380000 95.883910 -0.485198 -0.503249 -0.513699 34.426179 34.325874 34.562794 
23900 2.390000 96.037296 -0.485154 -0.502803 -0.512343 34.421083 34.326989 34.567529 
24000 2.400000 96.159617 -0.486251 -0.501385 -0.511433 34.415973 34.327951 34.571796 
24100 2.410000 96.186816 -0.488405 -0.499344 -0.511357 34.411241 34.328427 34.575748 
24200 2.420000 96.113341 -0.491212 -0.497041 -0.512056 34.407251 34.328201 34.579675 
