step time temperature strxx stryy strzz lx ly lz
13100 1.310000 210.382384 -0.671500 -0.665956 -0.687895 34.014842 34.041014 34.125681 
13200 1.320000 208.819387 -0.630398 -0.630866 -0.648819 34.133250 34.160312 34.236678 
13300 1.330000 207.428999 -0.591960 -0.597746 -0.609557 34.253182 34.281140 34.349410 
13400 1.340000 206.261510 -0.555862 -0.565880 -0.570864 34.374198 34.403117 34.463428 
13500 1.350000 205.214403 -0.522126 -0.535360 -0.533946 34.495876 34.525875 34.578285 
13600 1.360000 204.151235 -0.490909 -0.506449 -0.499771 34.617818 34.649055 34.693545 
13700 1.370000 203.070650 -0.461854 -0.478803 -0.468866 34.739651 34.772312 34.808803 
13800 1.380000 202.028838 -0.434439 -0.451926 -0.441430 34.861022 34.895313 34.923685 
13900 1.390000 201.012559 -0.408846 -0.425836 -0.417212 34.981594 35.017729 35.037854 
14000 1.400000 199.979371 -0.385600 -0.400824 -0.395435 35.101048 35.139236 35.151009 
14100 1.410000 198.986109 -0.364615 -0.377009 -0.375125 35.219088 35.259519 35.262875 
14200 1.420000 198.177189 -0.345137 -0.354221 -0.355454 35.335446 35.378274 35.373190 
14300 1.430000 197.651393 -0.326503 -0.332319 -0.336092 35.449865 35.495207 35.481697 
14400 1.440000 197.333187 -0.308751 -0.311599 -0.317329 35.562099 35.610032 35.588143 
14500 1.450000 197.049744 -0.292348 -0.292582 -0.299665 35.671910 35.722472 35.692275 
14600 1.460000 196.682741 -0.277568 -0.275597 -0.283355 35.779073 35.832271 35.793854 
14700 1.470000 196.206315 -0.264310 -0.260725 -0.268380 35.883383 35.939196 35.892655 
14800 1.480000 195.644024 -0.252212 -0.247818 -0.254630 35.984653 36.043039 35.988470 
14900 1.490000 195.041954 -0.240830 -0.236593 -0.242112 36.082708 36.143617 36.081102 
15000 1.500000 194.421752 -0.229931 -0.226715 -0.230910 36.177384 36.240765 36.170371 
15100 1.510000 193.763104 -0.219771 -0.217833 -0.221085 36.268520 36.334337 36.256112 
15200 1.520000 193.044960 -0.210782 -0.209624 -0.212517 36.355964 36.424199 36.338178 
15300 1.530000 192.260522 -0.203155 -0.201970 -0.204994 36.439580 36.510225 36.416436 
15400 1.540000 191.409406 -0.196791 -0.194993 -0.198315 36.519249 36.592296 36.490770 
15500 1.550000 190.496590 -0.191467 -0.188863 -0.192306 36.594870 36.670302 36.561072 
15600 1.560000 189.539027 -0.186926 -0.183685 -0.186819 36.666354 36.744145 36.627245 
15700 1.570000 188.565303 -0.182904 -0.179440 -0.181741 36.733624 36.813740 36.689199 
15800 1.580000 187.619572 -0.179135 -0.175985 -0.177002 36.796612 36.879015 36.746849 
15900 1.590000 186.742160 -0.175422 -0.173102 -0.172593 36.855251 36.939909 36.800115 
16000 1.600000 185.954961 -0.171686 -0.170589 -0.168545 36.909478 36.996369 36.848925 
16100 1.610000 185.261022 -0.167953 -0.168327 -0.164913 36.959230 37.048349 36.893208 
16200 1.620000 184.652138 -0.164298 -0.166294 -0.161715 37.004442 37.095807 36.932903 
16300 1.630000 184.108180 -0.160841 -0.164554 -0.158974 37.045056 37.138704 36.967954 
16400 1.640000 183.593940 -0.157750 -0.163226 -0.156730 37.081013 37.177006 36.998313 
16500 1.650000 183.069360 -0.155198 -0.162467 -0.155052 37.112262 37.210689 37.023941 
16600 1.660000 182.514576 -0.153271 -0.162339 -0.153979 37.138761 37.239734 37.044804 
16700 1.670000 181.950087 -0.151996 -0.162716 -0.153475 37.160477 37.264133 37.060882 
16800 1.680000 181.417945 -0.151381 -0.163381 -0.153427 37.177387 37.283887 37.072162 
16900 1.690000 180.947394 -0.151366 -0.164329 -0.153687 37.189478 37.299002 37.078637 
17000 1.700000 180.558985 -0.151799 -0.165664 -0.154184 37.196747 37.309488 37.080309 
17100 1.710000 180.260360 -0.152659 -0.167379 -0.154953 37.199200 37.315362 37.077182 
17200 1.720000 180.030553 -0.154176 -0.169388 -0.156107 37.196846 37.316649 37.069264 
17300 1.730000 179.845609 -0.156527 -0.171646 -0.157782 37.189709 37.313377 37.056574 
17400 1.740000 179.710300 -0.159615 -0.174163 -0.160112 37.177823 37.305581 37.039135 
17500 1.750000 179.654489 -0.163158 -0.176952 -0.163187 37.161233 37.293297 37.016981 
17600 1.760000 179.700481 -0.167002 -0.180020 -0.167033 37.139994 37.276569 36.990160 
17700 1.770000 179.852933 -0.171226 -0.183366 -0.171594 37.114162 37.255446 36.958729 
17800 1.780000 180.125706 -0.175898 -0.186979 -0.176771 37.083804 37.229979 36.922757 
17900 1.790000 180.550356 -0.180935 -0.190840 -0.182463 37.048991 37.200226 36.882323 
18000 1.800000 181.155542 -0.186189 -0.195016 -0.188593 37.009800 37.166249 36.837512 
18100 1.810000 181.951344 -0.191563 -0.199663 -0.195093 36.966312 37.128114 36.788417 
18200 1.820000 182.934229 -0.197066 -0.204965 -0.201901 36.918612 37.085894 36.735138 
18300 1.830000 184.099521 -0.202788 -0.211037 -0.208956 36.866785 37.039673 36.677778 
18400 1.840000 185.446153 -0.208887 -0.217896 -0.216240 36.810919 36.989545 36.616443 
18500 1.850000 186.970440 -0.215536 -0.225496 -0.223790 36.751111 36.935614 36.551244 
18600 1.860000 188.660685 -0.222910 -0.233799 -0.231722 36.687463 36.877996 36.482296 
18700 1.870000 190.497105 -0.231171 -0.242817 -0.240189 36.620087 36.816815 36.409719 
18800 1.880000 192.458024 -0.240444 -0.252629 -0.249322 36.549107 36.752204 36.333638 
18900 1.890000 194.532098 -0.250847 -0.263326 -0.259210 36.474661 36.684309 36.254190 
19000 1.900000 196.720475 -0.262483 -0.274897 -0.269917 36.396901 36.613284 36.171521 
19100 1.910000 199.034251 -0.275436 -0.287224 -0.281521 36.315996 36.539296 36.085785 
19200 1.920000 201.487117 -0.289684 -0.300235 -0.294119 36.232130 36.462519 35.997150 
19300 1.930000 204.098758 -0.305044 -0.313968 -0.307790 36.145503 36.383137 35.905795 
19400 1.940000 206.917565 -0.321127 -0.328464 -0.322512 36.056329 36.301340 35.811913 
19500 1.950000 210.022858 -0.337411 -0.343668 -0.338153 35.964831 36.217329 35.715707 
19600 1.960000 213.471769 -0.353502 -0.359539 -0.354567 35.871229 36.131309 35.617393 
19700 1.970000 217.256933 -0.369425 -0.376130 -0.371737 35.775741 36.043495 35.517194 
19800 1.980000 221.313903 -0.385609 -0.393534 -0.389782 35.678582 35.954107 35.415342 
19900 1.990000 225.546278 -0.402690 -0.411935 -0.408896 35.579967 35.863373 35.312075 
20000 2.000000 229.839088 -0.421324 -0.431669 -0.429277 35.480119 35.771533 35.207646 
20100 2.010000 234.082560 -0.442146 -0.453145 -0.451179 35.379280 35.678840 35.102320 
20200 2.020000 238.194371 -0.465601 -0.476532 -0.474823 35.277717 35.585564 34.996377 
20300 2.030000 242.191526 -0.491750 -0.501650 -0.500128 35.175726 35.491999 34.890118 
20400 2.040000 246.198122 -0.520076 -0.528167 -0.526557 35.073632 35.398454 34.783860 
20500 2.050000 250.361619 -0.549516 -0.555904 -0.553391 34.971785 35.305253 34.677933 
20600 2.060000 254.795350 -0.578874 -0.584774 -0.580178 34.870545 35.212730 34.572664 
20700 2.070000 259.533281 -0.607441 -0.614452 -0.606895 34.770265 35.121228 34.468380 
20800 2.080000 264.485766 -0.635484 -0.644635 -0.633904 34.671285 35.031099 34.365402 
20900 2.090000 269.442588 -0.663953 -0.675403 -0.661865 34.573937 34.942693 34.264049 
21000 2.100000 274.192454 -0.693713 -0.706862 -0.691487 34.478551 34.856364 34.164653 
21100 2.110000 278.679309 -0.724866 -0.738655 -0.723005 34.385473 34.772473 34.067557 
21200 2.120000 283.043655 -0.756413 -0.770163 -0.755660 34.295058 34.691377 33.973128 
21300 2.130000 287.542677 -0.786857 -0.800614 -0.787873 34.207665 34.613428 33.881741 
21400 2.140000 292.245412 -0.815729 -0.829455 -0.818731 34.123636 34.538964 33.793762 
21500 2.150000 296.864678 -0.844171 -0.856906 -0.848941 34.043293 34.468299 33.709540 
21600 2.160000 301.061034 -0.873194 -0.883606 -0.879751 33.966948 34.401730 33.629412 
21700 2.170000 304.770133 -0.902177 -0.909753 -0.911406 33.894921 34.339543 33.553722 
21800 2.180000 308.114201 -0.929626 -0.935485 -0.942843 33.827528 34.282016 33.482820 
21900 2.190000 311.214090 -0.954601 -0.960970 -0.972279 33.765067 34.229421 33.417054 
22000 2.200000 314.152148 -0.977153 -0.985609 -0.998097 33.707805 34.182028 33.356746 
