velocity_x speed
1.320226 3.059566
-1.696438 2.738853
0.772704 1.272698
-0.174003 1.467290
0.080680 1.406065
-0.696397 1.541115
-0.191698 2.193383
1.988572 2.135954
-1.982107 2.834751
-1.145736 1.482337
-0.757191 1.820148
-0.649156 0.862418
2.071490 2.079157
0.492151 1.896238
-0.677849 2.653906
-0.076235 1.203438
1.794006 1.984771
0.853104 1.799487
-0.049951 0.489528
-0.191069 1.874382
0.215196 2.571738
0.571516 0.838893
1.192123 1.347304
0.429613 0.811044
-0.770746 0.852267
0.387710 0.708717
0.547996 2.848008
-0.180152 1.505594
-2.308721 2.961451
2.021532 2.683637
0.235227 0.880271
-1.022861 1.615165
-0.912028 1.037429
0.331463 1.295109
1.494630 1.932653
-0.755508 1.736986
-0.267843 0.914618
0.135883 1.534951
-0.031020 1.120169
-0.832217 1.322335
-1.036217 2.963532
2.840121 2.861657
2.184821 2.667141
-0.247943 0.894158
-1.184827 3.567824
-0.664816 0.845699
1.238071 3.755366
0.565176 2.300266
0.144984 0.198776
-0.809475 0.884161
1.814048 2.204976
0.354155 1.131894
1.607390 1.895566
-0.549179 0.624565
-1.878839 2.020290
0.153734 1.478509
1.830216 2.769985
1.795467 1.973842
0.168479 1.354507
0.338148 2.157469
-0.523823 0.856004
-0.005887 1.026525
0.852323 1.151759
-1.815328 1.860889
-1.399122 1.689398
0.009425 0.628141
0.467527 2.213361
-0.231275 0.701981
1.380787 2.161994
0.284477 0.674931
1.574021 1.815194
0.579226 1.654475
-0.565054 2.763008
-0.403105 1.604851
0.757730 1.623968
-0.420599 1.072030
2.121884 2.255871
-0.823645 1.276032
-0.046058 1.583375
0.133734 1.197673
2.653395 2.930944
2.498288 2.711172
-2.274984 2.376367
-0.431249 2.411647
0.411996 1.363530
0.365684 0.903819
2.293004 3.717102
0.710860 1.008563
1.727652 1.984690
0.792378 2.003965
0.171474 1.306094
-0.003945 1.395175
0.631733 1.610509
-0.340352 1.266608
1.366746 2.427809
0.186694 0.826206
0.527771 0.552218
0.680990 2.081146
0.392386 1.416536
-1.723516 3.005158
1.197291 1.900099
0.115019 3.689613
-0.926890 1.125437
-0.815514 1.952010
1.563045 1.873154
-0.231753 0.514504
-0.606215 1.829812
2.250869 2.668048
-0.222610 0.750441
-0.138714 2.685406
0.360817 0.378259
0.993426 1.086112
0.379906 1.194157
-1.339898 3.212934
0.948522 2.327123
-0.164044 1.304574
0.457180 0.497608
-1.311083 2.823890
2.651602 3.576466
0.825902 2.462141
1.243202 2.720913
-1.220651 1.322485
0.232278 1.392192
-2.251180 2.708131
-1.492107 1.622583
-1.859771 2.663645
1.298321 2.071101
0.694713 1.487358
0.724029 2.125509
1.469981 1.572848
0.872768 2.191426
0.617179 1.616093
1.869956 2.279976
0.856718 2.683245
-0.091990 0.526821
0.288447 3.254900
-1.226714 1.769214
0.888828 1.880464
0.352474 2.433412
-2.696866 3.127872
-1.805169 2.132471
-1.216214 1.701471
0.327949 1.495023
1.903564 2.286274
-0.786033 1.586917
0.181585 1.702814
-0.217156 2.523173
-0.075712 1.672563
-1.221916 1.973165
0.181187 2.458462
-1.542457 3.521206
-0.351109 1.569909
-0.242212 2.114766
1.228389 1.347812
0.437577 1.770166
-0.267830 1.857867
2.138198 2.692150
-0.218569 2.205940
-0.277598 0.835922
-0.680242 1.217716
-0.277837 2.200537
-2.106829 2.578076
-0.573646 1.258240
0.982493 2.616542
0.106010 1.433532
-1.588494 1.995152
-3.452540 3.460250
1.701634 2.109507
-0.448905 2.093039
-0.337780 1.814833
-0.118661 1.149675
0.800514 1.739705
-1.330306 2.858714
-0.292530 2.825500
-0.115545 2.118204
0.086131 2.265243
2.913474 4.123230
0.856778 2.566425
0.198787 0.474928
-1.382748 1.861676
-1.835515 2.362811
-0.845689 0.984017
-1.004438 2.083525
-0.715003 1.188929
1.099524 1.743387
-1.273841 2.315725
0.854609 1.582876
-1.260068 1.633124
0.810615 1.553377
1.698027 2.312398
0.077204 1.002296
-0.179963 0.887320
0.749512 1.887502
0.395408 0.634868
1.305141 3.109420
0.879083 2.115696
0.958719 1.869941
1.342007 1.544801
-1.007977 1.322414
-1.205204 1.218625
-0.659640 2.665171
1.169726 2.375614
-0.408480 0.675185
-0.350941 1.518671
1.638296 2.045383
1.453113 1.536915
-1.754607 2.151161
-0.941527 1.807586
-0.022390 0.461947
2.104976 2.282578
-1.260888 2.523971
0.410702 1.102822
1.543865 2.248056
1.279536 1.638936
0.646302 2.734614
0.161280 1.833087
0.182912 1.483582
0.724252 0.971407
1.091610 2.399940
2.146874 3.393167
-1.093536 1.736854
0.265880 0.740651
-2.947686 3.010896
-0.413821 1.057818
0.695526 1.590260
0.723301 1.161916
2.680589 2.682980
0.142138 0.467536
0.422196 0.422342
-0.435456 2.057802
2.521451 2.529785
-2.060986 2.732012
0.744228 1.277616
-0.045386 0.794211
0.559061 1.189912
1.381944 2.114823
-0.834321 3.085911
0.636556 1.493798
-0.015497 1.394122
0.505443 1.504421
0.660355 0.704728
-0.269482 1.398133
-2.787635 2.933199
-0.054991 3.000723
0.375007 1.124787
0.184504 1.042908
0.380319 2.323992
-1.018953 2.279583
1.113256 2.834276
0.728528 1.252247
-1.967037 3.769026
-1.551771 2.471341
-0.509781 1.068994
0.070389 0.868876
0.164169 0.884173
-1.262085 2.664021
0.247275 1.280013
0.615815 1.309361
-1.967695 2.204908
0.773963 1.832514
-2.153038 2.189141
-0.656072 1.669144
0.418392 0.741581
0.627737 2.143865
2.045872 2.546337
-0.131421 0.780992
0.227148 1.611798
-0.429130 1.760859
0.748443 1.597782
0.690786 1.683122
0.768228 1.336764
1.998180 2.162185
-0.408532 2.016416
1.426829 2.010878
-0.777122 1.296988
1.285241 1.345749
0.292541 0.637904
0.148044 1.826027
-0.750277 1.388409
-0.133668 2.282146
-0.220382 0.406014
2.366817 2.571790
-0.947782 1.378775
0.613192 1.926929
-2.820407 3.365752
-1.158145 1.343701
0.415983 1.115106
1.783010 2.734817
-0.975611 1.212775
-1.727437 3.399797
0.649131 2.149704
0.652292 2.265939
-1.130324 2.984979
0.448290 1.770092
-1.456541 2.779076
-1.501496 2.417513
-0.321851 2.245014
0.543201 0.854116
-0.347583 0.574219
-1.992508 2.257559
1.821443 2.473714
0.210547 0.323340
0.598851 1.784254
0.575772 0.823436
0.192824 1.464018
-1.319253 1.672189
-0.741799 2.762444
-1.207967 2.379446
0.410626 0.593123
1.770211 2.017913
-2.294221 2.542365
-1.537291 2.759985
-0.656516 2.920078
-0.545014 1.270887
-1.821861 2.079988
0.440594 1.628042
-1.830608 1.862391
1.416758 3.893805
1.232561 1.283651
-2.064322 2.372176
-1.136474 1.474491
-0.317766 0.981187
-1.816898 2.260631
0.594698 1.211285
1.408513 2.486004
-0.533107 0.667890
-1.142280 1.482383
0.015341 0.903632
1.708712 2.986383
0.547946 1.215886
0.386395 0.556310
-1.505523 2.055199
-0.946736 2.496883
1.551820 2.041541
-0.558477 2.379798
-0.006742 2.613440
0.550395 1.028642
-1.278330 1.408145
-0.796294 1.959785
-0.521449 2.086474
1.839670 2.176821
-0.247858 2.896958
1.749150 2.509032
0.472417 0.728167
-0.413691 1.191439
-0.166955 1.925336
1.084279 2.328204
-0.063208 3.131259
2.000296 2.105029
-0.006042 0.884594
0.274840 1.416435
-0.570368 1.977553
-0.788163 0.968255
0.702830 1.874545
0.501095 0.884452
0.803434 1.901614
-1.350139 2.361366
-0.876719 1.215308
-0.775619 1.393089
-1.335811 2.196248
-0.208851 0.992578
-0.368104 1.650408
1.652132 1.753036
0.107097 1.356265
0.683429 1.287249
-3.156971 3.706698
1.476644 2.346749
-2.237912 2.322823
-1.549112 3.072151
-0.057374 1.925169
1.814091 2.480153
-1.247428 2.206659
-2.115455 2.135015
-2.357946 2.380830
0.414891 2.494244
0.557070 1.848120
-0.875443 1.622153
-0.925528 2.084069
-0.541062 1.111624
0.589024 1.228819
1.342490 1.459779
-0.268849 1.009995
1.473461 2.395561
1.194051 1.764408
-1.303795 2.508448
-0.850452 2.173817
-0.281628 2.648478
1.062935 1.213922
-2.439162 2.638255
-1.273635 1.385037
0.092127 0.871974
0.581058 2.283614
-0.281465 1.667584
-0.542283 1.312505
1.187747 1.220288
1.219214 2.809808
1.317008 1.970865
-0.668395 1.826163
1.338439 1.564196
1.063938 1.286827
-3.513874 3.787241
-0.483384 1.823050
0.612743 1.719574
-1.458049 2.503722
0.534206 0.632547
-0.824574 1.070245
0.852163 0.972870
-0.515416 1.856790
-0.424051 1.527957
1.179815 2.813166
1.145703 2.126659
1.705340 3.248004
-0.682519 1.648128
0.719794 2.577549
-1.567046 2.666863
-1.023943 2.630087
-0.930367 1.662074
-0.525112 1.619763
-1.118899 1.716636
-1.989895 3.478269
-0.718902 2.644582
-0.804867 1.126265
-0.409318 2.366715
0.609718 1.551086
1.085944 2.195829
0.320543 0.342303
-0.561327 2.471187
-0.000769 2.114103
-1.279805 1.810090
-2.109734 2.506832
