step time dx dv
30100 15.050000 -0.014903 -0.088876
30200 15.100000 -0.018875 -0.069150
30300 15.150000 -0.021745 -0.045037
30400 15.200000 -0.023330 -0.018013
30500 15.250000 -0.023527 0.010188
30600 15.300000 -0.022322 0.037722
30700 15.350000 -0.019795 0.062809
30800 15.400000 -0.016108 0.083887
30900 15.450000 -0.011494 0.099738
31000 15.500000 -0.006235 0.109563
31100 15.550000 -0.000644 0.112993
31200 15.600000 0.004958 0.110070
31300 15.650000 0.010263 0.101187
31400 15.700000 0.014988 0.087019
31500 15.750000 0.018891 0.068449
31600 15.800000 0.021777 0.046508
31700 15.850000 0.023505 0.022322
31800 15.900000 0.023992 -0.002929
31900 15.950000 0.023214 -0.028040
32000 16.000000 0.021210 -0.051811
32100 16.050000 0.018075 -0.073072
32200 16.100000 0.013963 -0.090713
32300 16.150000 0.009081 -0.103734
32400 16.200000 0.003681 -0.111292
32500 16.250000 -0.001947 -0.112773
32600 16.300000 -0.007490 -0.107857
32700 16.350000 -0.012627 -0.096594
32800 16.400000 -0.017051 -0.079450
32900 16.450000 -0.020488 -0.057325
33000 16.500000 -0.022722 -0.031524
33100 16.550000 -0.023607 -0.003673
33200 16.600000 -0.023085 0.024418
33300 16.650000 -0.021191 0.050917
33400 16.700000 -0.018048 0.074137
33500 16.750000 -0.013856 0.092679
33600 16.800000 -0.008875 0.105531
33700 16.850000 -0.003407 0.112116
33800 16.900000 0.002229 0.112280
33900 16.950000 0.007717 0.106251
34000 17.000000 0.012760 0.094575
34100 17.050000 0.017094 0.078043
34200 17.100000 0.020499 0.057620
34300 17.150000 0.022809 0.034390
34400 17.200000 0.023911 0.009512
34500 17.250000 0.023752 -0.015819
34600 17.300000 0.022341 -0.040396
34700 17.350000 0.019745 -0.063031
34800 17.400000 0.016090 -0.082580
34900 17.450000 0.011556 -0.097983
35000 17.500000 0.006376 -0.108313
35100 17.550000 0.000822 -0.112834
35200 17.600000 -0.004802 -0.111073
35300 17.650000 -0.010178 -0.102891
35400 17.700000 -0.014989 -0.088545
35500 17.750000 -0.018941 -0.068723
35600 17.800000 -0.021788 -0.044540
35700 17.850000 -0.023347 -0.017476
35800 17.900000 -0.023517 0.010729
35900 17.950000 -0.022286 0.038233
36000 18.000000 -0.019735 0.063256
36100 18.050000 -0.016028 0.084244
36200 18.100000 -0.011398 0.099986
36300 18.150000 -0.006130 0.109689
36400 18.200000 -0.000536 0.112996
36500 18.250000 0.005064 0.109953
36600 18.300000 0.010360 0.100962
36700 18.350000 0.015072 0.086700
36800 18.400000 0.018957 0.068055
36900 18.450000 0.021822 0.046060
37000 18.500000 0.023526 0.021843
37100 18.550000 0.023989 -0.003417
37200 18.600000 0.023187 -0.028514
37300 18.650000 0.021160 -0.052248
37400 18.700000 0.018005 -0.073448
37500 18.750000 0.013876 -0.091010
37600 18.800000 0.008981 -0.103933
37700 18.850000 0.003574 -0.111380
37800 18.900000 -0.002055 -0.112739
37900 18.950000 -0.007593 -0.107700
38000 19.000000 -0.012719 -0.096318
38100 19.050000 -0.017127 -0.079068
38200 19.100000 -0.020543 -0.056858
38300 19.150000 -0.022752 -0.031003
38400 19.200000 -0.023610 -0.003129
38500 19.250000 -0.023061 0.024949
38600 19.300000 -0.021142 0.051400
38700 19.350000 -0.017977 0.074541
38800 19.400000 -0.013767 0.092982
38900 19.450000 -0.008774 0.105718
39000 19.500000 -0.003300 0.112180
39100 19.550000 0.002337 0.112221
39200 19.600000 0.007819 0.106078
39300 19.650000 0.012851 0.094301
39400 19.700000 0.017169 0.077684
39500 19.750000 0.020554 0.057196
39600 19.800000 0.022842 0.033923
39700 19.850000 0.023920 0.009025
39800 19.900000 0.023737 -0.016303
39900 19.950000 0.022302 -0.040854
40000 20.000000 0.019684 -0.063440
40100 20.050000 0.016010 -0.082919
40200 20.100000 0.011462 -0.098232
40300 20.150000 0.006272 -0.108457
40400 20.200000 0.000714 -0.112860
40500 20.250000 -0.004909 -0.110976
40600 20.300000 -0.010277 -0.102672
40700 20.350000 -0.015074 -0.088213
40800 20.400000 -0.019007 -0.068295
40900 20.450000 -0.021831 -0.044041
41000 20.500000 -0.023363 -0.016939
41100 20.550000 -0.023506 0.011271
41200 20.600000 -0.022249 0.038743
41300 20.650000 -0.019674 0.063702
41400 20.700000 -0.015946 0.084599
41500 20.750000 -0.011302 0.100231
41600 20.800000 -0.006024 0.109814
41700 20.850000 -0.000427 0.112996
41800 20.900000 0.005169 0.109835
41900 20.950000 0.010457 0.100735
42000 21.000000 0.015155 0.086380
42100 21.050000 0.019022 0.067660
42200 21.100000 0.021866 0.045612
42300 21.150000 0.023547 0.021363
42400 21.200000 0.023985 -0.003905
42500 21.250000 0.023159 -0.028987
42600 21.300000 0.021109 -0.052683
42700 21.350000 0.017934 -0.073824
42800 21.400000 0.013788 -0.091305
42900 21.450000 0.008881 -0.104130
43000 21.500000 0.003467 -0.111465
43100 21.550000 -0.002164 -0.112703
43200 21.600000 -0.007697 -0.107540
43300 21.650000 -0.012812 -0.096039
43400 21.700000 -0.017203 -0.078684
43500 21.750000 -0.020598 -0.056391
43600 21.800000 -0.022781 -0.030480
43700 21.850000 -0.023613 -0.002586
