velocity_x speed
-1.035423 1.968999
-1.459435 1.487973
0.893322 1.137391
1.574277 1.743574
1.060813 1.411519
-0.111944 0.923697
2.358424 3.179244
0.488268 1.385030
-1.248909 1.704117
-0.778078 1.788322
-1.670408 2.386920
-3.084275 3.274164
0.401934 1.519516
-1.444374 2.640065
-2.171818 2.623731
1.983169 2.171051
-0.036919 0.648887
-0.695673 2.014036
1.170845 1.535384
-0.936702 2.466994
0.577810 1.533188
1.590281 3.247833
1.415941 2.123228
0.508862 2.464087
-0.980684 2.330669
-0.910032 1.821974
-1.681112 1.993077
-0.657493 1.989447
-1.765326 1.860272
0.866062 1.355519
-1.497639 1.664582
-1.455526 3.284436
1.191388 2.731738
1.382173 2.082767
1.340074 2.154677
1.069212 3.160548
-0.619113 2.243641
0.979007 2.899086
-1.326597 2.633533
-1.013276 3.151800
-0.674395 2.193967
-1.123195 1.409191
1.905077 2.760689
-1.171798 1.795502
-1.034360 1.463459
0.675697 2.116051
-1.144309 2.321789
-1.411018 1.443926
1.856683 2.002386
-0.057111 2.387014
2.546165 3.072395
-1.370984 2.416433
1.443580 1.610420
-0.849302 1.606725
-0.524186 1.702248
-0.878932 0.915938
0.885905 2.741097
-2.132694 2.827888
-0.593076 2.821303
1.426473 2.596015
0.700285 1.424754
1.651215 2.082076
-0.969276 3.127793
-1.661263 1.815716
1.311742 1.921007
1.621144 2.100113
-1.073187 1.317506
-0.877207 2.914556
0.080483 1.606370
-0.954165 1.530772
-1.141624 2.934858
-1.463310 2.456150
0.063078 1.622541
0.014565 1.571513
-2.660405 3.510150
0.916849 2.171544
-0.919918 1.137376
1.755855 2.819833
-0.779245 1.238549
0.073712 0.729877
2.312345 2.517257
-0.751462 1.239081
-0.339433 2.912360
-0.347023 0.548455
-1.045747 2.199870
0.678535 1.196040
-1.105547 1.301489
0.543195 0.848957
0.806988 1.961840
-3.464346 3.534600
0.063125 0.502844
2.106949 3.626576
1.200955 3.357789
1.123657 1.385877
0.575888 2.051833
1.119487 3.748232
-1.268383 1.743967
1.027977 2.459482
-0.674676 0.724947
0.784808 1.890372
-2.510702 3.048501
-0.380179 1.655705
-1.014119 1.708553
-0.138402 2.369172
2.844970 4.185982
-0.555929 1.266390
-2.295705 2.750259
0.967668 2.830318
-2.520908 2.865653
2.606295 3.000267
0.735405 0.897925
-0.186853 0.635050
-1.820454 2.027021
-0.826192 1.455191
-0.154112 1.561396
0.072482 1.343143
2.067290 3.015297
-2.109701 2.961877
0.194426 1.232485
0.012151 0.468351
-2.529710 2.911760
-1.144650 1.288870
